日期,Day,今日主题,听力材料,今日词汇,口语任务,阅读任务,写作任务,是否完成,自评分,备注
,1,委婉表达不同意见,BBC English at Work - Disagreeing / Business communication,"perspective; concern; alternative; priority; realistic; feasible; risk; clarify; align; assumption; outcome; compromise",录音1分钟：礼貌表达不同意见,HBR communication / managing up 10分钟,80-120词邮件：Concern About the Project Timeline,,,
,2,澄清需求与确认信息,BBC English at Work - Clarifying / Confirming,"requirement; deadline; scope; detail; confirm; clarify; expectation; deliverable; timeline; update",模拟确认项目需求,HBR clear communication 10分钟,确认会议后的下一步邮件,,,
,3,商务邮件：提出问题,BBC Business English - Email / Asking for help,"issue; question; background; context; response; appreciate; attach; regarding; follow up; solve",解释工作问题并请求帮助,HBR workplace communication 10分钟,80-120词求助邮件,,,
,4,会议中提出建议,BBC English at Work - Suggestions,"suggestion; recommend; propose; option; benefit; challenge; impact; improve; efficient; practical",提出2个流程改进建议,TED Business talk 10分钟,5条会议建议,,,
,5,汇报进度,BBC Business English - Progress update,"progress; milestone; status; delay; blocker; completed; pending; next step; on track; behind schedule",1分钟项目进度汇报,HBR project communication 10分钟,项目状态更新段落,,,
,6,综合：项目延期沟通,复听Day1和Day5材料,"revise; postpone; negotiate; trade-off; quality; feedback; release; stakeholder; constraint; decision",和经理讨论延期,HBR stakeholder communication 10分钟,建议调整发布时间邮件,,,
,7,周复盘与测评,复听Day1-6最难材料,"review; reflect; weakness; strength; fluency; accuracy; confidence; habit",2分钟周总结,复读本周阅读笔记,100词周总结,,,
,8,主动提问,BBC English at Work - Asking questions,"could; would; possible; explain; detail; example; reason; clarify; check; understand",会议中提出5个问题,HBR meeting communication 10分钟,询问项目细节邮件,,,
,9,客户沟通：理解需求,BBC Business English - Customer needs,"client; need; pain point; expectation; solution; budget; timeline; requirement; value; support",模拟客户需求访谈,TED business customer topic 10分钟,客户需求摘要,,,
,10,写作：会议纪要,BBC Business English - Meeting language,"agenda; action item; owner; decision; note; summary; follow-up; due date; attendee; next step",口头总结会议决定,HBR meeting article 10分钟,会议纪要,,,
,11,解释风险,BBC English at Work - Problems and risks,"risk; concern; issue; consequence; impact; mitigate; prevent; quality; delay; dependency",解释一个项目风险,HBR risk communication 10分钟,风险说明邮件,,,
,12,表达优先级,BBC Business English - Priorities,"priority; urgent; important; focus; resource; effort; trade-off; capacity; deadline; align",说明任务优先级,HBR productivity / priority 10分钟,优先级说明,,,
,13,综合：跨团队协作,BBC English at Work - Working with colleagues,"collaborate; coordinate; align; stakeholder; dependency; support; handoff; responsibility; ownership; feedback",模拟跨团队同步会议,HBR collaboration 10分钟,协作请求邮件,,,
,14,周复盘与测评,复听Day8-13,"review; improve; repeat; mistake; confident; natural; fluent; accurate",2分钟周总结,复读本周材料,100词周总结,,,
,15,参与讨论,TED Business talk / BBC Business English,"opinion; agree; disagree; add; build on; evidence; example; point; perspective; discussion",对一个观点发表意见,TED talk transcript 10分钟,观点段落,,,
,16,商务电话,BBC English at Work - Phone calls,"call; voicemail; available; transfer; hold; reach; speak; schedule; reschedule; message",模拟电话预约,BBC phone call material 10分钟,电话留言,,,
,17,谈判基础,BBC Business English - Negotiation,"negotiate; offer; condition; agree; term; price; deadline; flexibility; compromise; deal",模拟谈判deadline,HBR negotiation article 10分钟,谈判后确认邮件,,,
,18,数据与结果汇报,TED Business / HBR analytics,"increase; decrease; growth; trend; result; metric; target; revenue; performance; compare",解释数据变化,HBR data communication 10分钟,数据汇报段落,,,
,19,处理反馈,BBC English at Work - Feedback,"feedback; improve; suggestion; concern; appreciate; adjust; revise; strengthen; weakness; response",回应上级反馈,HBR feedback article 10分钟,反馈回应邮件,,,
,20,综合：客户异议处理,BBC Business English + HBR communication,"objection; concern; value; evidence; clarify; address; reassure; option; benefit; next step",模拟处理客户异议,HBR customer communication 10分钟,客户回应邮件,,,
,21,周复盘与测评,复听Day15-20,"review; confidence; pronunciation; vocabulary; grammar; output; habit",2分钟复盘,复读阅读笔记,周总结,,,
,22,主持小会议,BBC Business English - Meetings,"agenda; objective; timebox; discussion; decision; action item; wrap up; participant; topic; follow-up",主持3分钟会议开场,HBR effective meetings 10分钟,会议议程,,,
,23,解释复杂问题,HBR communication / BBC Business English,"root cause; factor; process; bottleneck; dependency; analysis; explain; reason; solution; outcome",用简单英语解释复杂问题,HBR problem solving 10分钟,问题说明,,,
,24,商务写作：更简洁,BBC Business English - Writing,"concise; clear; direct; polite; specific; redundant; revise; tone; structure; paragraph",改写冗长句子,HBR writing communication 10分钟,改写一封邮件,,,
,25,演示与汇报,TED Business presentation,"presentation; introduce; highlight; key point; transition; conclusion; audience; slide; summary; recommend",2分钟小汇报,TED transcript 10分钟,演示开场白,,,
,26,解决冲突,BBC English at Work - Conflict,"conflict; tension; misunderstanding; agree; disagree; resolve; listen; respect; solution; compromise",模拟冲突沟通,HBR conflict communication 10分钟,解决冲突邮件,,,
,27,综合：月度项目汇报,BBC Business English + HBR,"achievement; challenge; lesson; result; plan; next step; risk; priority; feedback; goal",3分钟月度汇报,HBR communication article 10分钟,月度汇报邮件,,,
,28,月度复盘,复听本月最难3个材料,"review; progress; weakness; strength; fluency; accuracy; confidence; next month",3分钟月度总结,复读全部笔记,150词月总结,,,
,29,模拟商务会议,自选BBC / TED材料,"agenda; concern; alternative; decision; action; follow-up; risk; priority; align; outcome",完整模拟会议发言,复读HBR笔记,会议后邮件,,,
,30,30天测评与计划调整,复听Day1和Day29,"review; benchmark; improvement; target; plan; habit; fluency; confidence",对比录音并做3分钟总结,复盘所有输出,下月计划,,,
2026-06-18,1,委婉表达不同意见,TED Talk - Margaret Heffernan: Dare to disagree 0:00-2:40,"perspective; concern; alternative; priority; realistic; feasible; risk; clarify; align; assumption; outcome; compromise",录音1分钟：礼貌表达不同意见,TED transcript前4段,80-120词邮件：Concern About the Project Timeline,,,
